cnn,st_name,st_type,cnntext,the_geom,data_as_of,data_loaded_at,Current Supervisor Districts,Analysis Neighborhoods,SF Find Neighborhoods,Current Police Districts
51950000,GILMAN,AVE,51950000,POINT (-122.378784033 37.712929869),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
50713000,25TH,ST,50713000,POINT (-122.380095868 37.753279508),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
51965000,GILMAN,AVE,51965000,POINT (-122.375019661 37.710792411),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
51943000,POLLOCK,ST,51943000,POINT (-122.365869925 37.708431923),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
50807000,POLLOCK,ST,50807000,POINT (-122.364820405 37.709598207),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
26364000,EDDY,ST,26364000,POINT (-122.441148844 37.780292739),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,39,13,7
23869000,RHODE ISLAND,ST,23869000,POINT (-122.403037759 37.769828658),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,4,33,1
50654000,UNNAMED 037,,50654000,POINT (-122.455298492 37.740595369),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,72,9
23945000,NATOMA,ST,23945000,POINT (-122.405466275 37.781925018),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
25375000,CHILD,ST,25375000,POINT (-122.407482769 37.802889102),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,23,18,6
24297000,09TH,ST,24297000,POINT (-122.412627153 37.77456497),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
27622000,LAKE,ST,27622000,POINT (-122.473255083 37.786288101),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,33,2,8
23142000,CRANLEIGH,DR,23142000,POINT (-122.47317353 37.733722344),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,62,10
26774000,TOLEDO,WAY,26774000,POINT (-122.437480314 37.801574802),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
20369000,SCHWERIN,ST,20369000,POINT (-122.411968197 37.709210352),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,75,9
51995000,RAYMOND,AVE,51995000,POINT (-122.41539609 37.715473662),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,75,9
20089000,LILLIAN,ST,20089000,POINT (-122.381146511 37.731387788),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
51283000,DEEMS,RD,51283000,POINT (-122.463320525 37.79473182),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
24076000,23RD,ST,24076000,POINT (-122.417505901 37.753902052),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
27199000,WILLARD,ST,27199000,POINT (-122.45628364 37.774554712),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,9,8
27143000,JUDAH,ST,27143000,POINT (-122.464042005 37.762268849),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,14,109,7
50728000,MASSACHUSETTS,ST,50728000,POINT (-122.380897174 37.75203094),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,56,2
26956000,PACIFIC,AVE,26956000,POINT (-122.447679208 37.791702899),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,31,10,8
24386000,HOWARD,ST,24386000,POINT (-122.417609443 37.770407418),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,20,32,1
23250000,28TH,AVE,23250000,POINT (-122.485074494 37.738899871),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
24915000,ELWOOD,ST,24915000,POINT (-122.409775109 37.786658874),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,36,,5
54366000,LANGTON,ST,54366000,POINT (-122.40374604 37.772623459),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,33,1
22459000,CAPITOL,AVE,22459000,POINT (-122.459005468 37.71138733),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
25299000,WASHINGTON,ST,25299000,POINT (-122.419579124 37.793466928),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,32,105,6
51952000,FITZGERALD,AVE,51952000,POINT (-122.376325689 37.71247923),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,,,,
23047000,BUCARELI,DR,23047000,POINT (-122.478673891 37.717902614),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,16,42,10
50752000,CLEO RAND,AVE,50752000,POINT (-122.372132867 37.729571368),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,78,2
25116000,VALLEJO,ST,25116000,POINT (-122.412095884 37.79816524),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,6,107,6
27837000,32ND,AVE,27837000,POINT (-122.491959445 37.77596006),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
27751000,NORIEGA,ST,27751000,POINT (-122.497902528 37.753295682),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
20745000,SILVER,AVE,20745000,POINT (-122.401807982 37.734727322),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,87,2
52191000,CCSF PARKING LOT,,52191000,POINT (-122.449892848 37.7230331),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,95,9
26474000,TEMESCAL,TER,26474000,POINT (-122.452233766 37.776976223),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,18,12,7
26863000,BAKER,ST,26863000,POINT (-122.444478317 37.791207852),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,30,102,8
22770000,UPLAND,DR,22770000,POINT (-122.467100065 37.730490851),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,63,10
51351000,RUCKMAN,AVE,51351000,POINT (-122.473626453 37.801886722),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
26649000,WASHINGTON,ST,26649000,POINT (-122.434380484 37.791591651),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,30,102,4
54346000,HWY 101 SOUTHBOUND,,54346000,POINT (-122.405578085 37.733086782),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,25,91,2
27777000,LAWTON,ST,27777000,POINT (-122.502450479 37.756834581),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
54366000,BRANNAN,ST,54366000,POINT (-122.40374604 37.772623459),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,33,1
22669000,OCEAN,AVE,22669000,POINT (-122.462815474 37.725482412),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,67,10
27613000,LAKE,ST,27613000,POINT (-122.471114604 37.786387243),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,11,4,8
25946000,MCALLISTER,ST,25946000,POINT (-122.426828556 37.779257971),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,39,97,4
22120000,RALEIGH,ST,22120000,POINT (-122.441934448 37.727798884),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,94,9
26605000,WEBSTER,ST,26605000,POINT (-122.43219668 37.789115231),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,30,102,4
52149000,HWY 101 S OFF,RAMP,52149000,POINT (-122.403896421 37.74979632),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,20,54,3
32843000,MARTIN LUTHER KING JR,DR,32843000,POINT (-122.507971416 37.764937537),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,12,9,8
25865000,DOLORES,ST,25865000,POINT (-122.42685829 37.76904239),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,37,3
26880000,FILBERT,ST,26880000,POINT (-122.443949955 37.796968589),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,14,4
21543000,WHIPPLE,AVE,21543000,POINT (-122.448774511 37.711632964),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,66,9
24051000,HARRISON,ST,24051000,POINT (-122.412843801 37.762229214),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
26784000,NORTH POINT,ST,26784000,POINT (-122.436891611 37.803602641),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
33565000,DE FOREST,WAY,33565000,POINT (-122.436964816 37.764758834),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,113,7
27836000,31ST,AVE,27836000,POINT (-122.490886463 37.776008809),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
28260000,GELLERT,DR,28260000,POINT (-122.490761324 37.729745434),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,35,43,10
33209000,BAY SHORE,BLVD,33209000,POINT (-122.398991049 37.71533879),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,40,91,9
24636000,STEVENSON,ST,24636000,POINT (-122.405235712 37.785265098),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,8,32,5
26166000,ORD,ST,26166000,POINT (-122.44016828 37.762186574),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,113,7
25042000,WASHINGTON,ST,25042000,POINT (-122.40916435 37.794807446),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,6,104,6
25368000,CHILD,ST,25368000,POINT (-122.407419586 37.802572004),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,23,18,6
21645000,NAPLES,ST,21645000,POINT (-122.431204703 37.720855581),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
23807000,TOWNSEND,ST,23807000,POINT (-122.392749787 37.778851718),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,4,31,1
21305000,CAPP,ST,21305000,POINT (-122.417048845 37.749106506),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
23414000,35TH,AVE,23414000,POINT (-122.493228194 37.747888275),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
50714000,24TH,ST,50714000,POINT (-122.380242558 37.754517214),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,,,
20925000,BOWDOIN,ST,20925000,POINT (-122.412843352 37.730797307),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,25,91,2
22899000,LOPEZ,AVE,22899000,POINT (-122.462687167 37.748513812),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,45,10
20180000,ACACIA,AVE,20180000,POINT (-122.379409912 37.736759613),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
51324000,MASON,ST,51324000,POINT (-122.467472556 37.803664272),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
22261000,MARTHA,AVE,22261000,POINT (-122.439758333 37.734027777),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,41,95,9
22111000,SANTA YSABEL,AVE,22111000,POINT (-122.43968067 37.727689653),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,94,9
33363000,26TH,ST,33363000,POINT (-122.421284461 37.748850443),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,20,53,3
22008000,CASTRO,ST,22008000,POINT (-122.433315112 37.742494718),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,84,9
30028000,ALLEN,ST,30028000,POINT (-122.419105547 37.799482275),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,32,107,6
26035000,BRODERICK,ST,26035000,POINT (-122.438899102 37.771990424),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,3,112,7
20451000,BANCROFT,AVE,20451000,POINT (-122.390924328 37.724543875),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
21727000,MADRID,ST,21727000,POINT (-122.436331137 37.716953124),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
26241000,OLYMPIA,WAY,26241000,POINT (-122.454392317 37.75127892),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,38,48,7
21694000,MISSION,ST,21694000,POINT (-122.430809256 37.729227846),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,94,9
34140000,MACALLA,CT,34140000,POINT (-122.369149296 37.811743719),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,35,1
33717000,BUCKINGHAM,WAY,33717000,POINT (-122.475937334 37.730118806),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,16,41,10
25304000,JACKSON,ST,25304000,POINT (-122.421404356 37.79414398),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,32,105,4
26668000,STEINER,ST,26668000,POINT (-122.436026391 37.791383),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,30,102,4
23579000,MISSION ROCK,ST,23579000,POINT (-122.38971674 37.772930795),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,4,34,1
51371000,COMPTON,RD,51371000,POINT (-122.475858943 37.794250984),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
21888000,RANDALL,ST,21888000,POINT (-122.429840275 37.740752944),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,59,9
33859000,HOLYOKE,ST,33859000,POINT (-122.405865108 37.719879634),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,25,75,9
23264000,26TH,AVE,23264000,POINT (-122.483192383 37.742720213),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
21909000,SANCHEZ,ST,21909000,POINT (-122.428805595 37.742764288),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,84,9
27549000,BALBOA,ST,27549000,POINT (-122.486603081 37.776203752),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
51869000,HARRISON,ST,51869000,POINT (-122.411408043 37.744786668),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
54085000,STERN GROVE,CT,54085000,POINT (-122.474149464 37.736034384),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,46,10
33620000,DIVISION,ST,33620000,POINT (-122.403406518 37.7698071),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,4,33,1
26458000,GOLDEN GATE,AVE,26458000,POINT (-122.451346157 37.777090401),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,18,12,7
50517000,YACHT,RD,50517000,POINT (-122.443871744 37.807566956),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
22983000,MENDOSA,AVE,22983000,POINT (-122.46628223 37.748118726),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,45,10
24389000,12TH,ST,24389000,POINT (-122.419663576 37.773893124),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,20,32,1
23704000,MADERA,ST,23704000,POINT (-122.398799805 37.755840701),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,54,2
22877000,GRANVILLE,WAY,22877000,POINT (-122.462388871 37.742358797),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,49,10
32962000,SKYVIEW,WAY,32962000,POINT (-122.450017621 37.751259516),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,38,48,7
54006000,DELANCEY,ST,54006000,POINT (-122.390230115 37.785672879),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,8,31,1
26072000,BRODERICK,ST,26072000,POINT (-122.440026922 37.777586768),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,39,97,7
51527000,STOREY,AVE,51527000,POINT (-122.469907924 37.800997347),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
20122000,HAWES,ST,20122000,POINT (-122.384941376 37.724921984),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,78,2
53063000,I-80 W ON,RAMP,53063000,POINT (-122.367433795 37.807819192),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,35,1
50895000,SHOTWELL,ST,50895000,POINT (-122.414846884 37.74427479),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
50821000,HOLLISTER,AVE,50821000,POINT (-122.389902623 37.718312154),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,88,2
21443000,AMAZON,AVE,21443000,POINT (-122.437900555 37.716319602),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
54241000,OREILLY,AVE,54241000,POINT (-122.449915432 37.801554949),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
27020000,MARINA,BLVD,27020000,POINT (-122.447286871 37.80516009),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,17,4
50977000,MUNICH,ST,50977000,POINT (-122.430205554 37.716394128),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
22185000,MOUNT VERNON,AVE,22185000,POINT (-122.451645883 37.719685569),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,81,10
21710000,RUSSIA,AVE,21710000,POINT (-122.431584858 37.718916101),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
28223000,WHITNEY YOUNG,CIR,28223000,POINT (-122.384691704 37.733759747),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
24222000,TREAT,AVE,24222000,POINT (-122.412829954 37.766750934),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
20122000,VAN DYKE,AVE,20122000,POINT (-122.384941376 37.724921984),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,78,2
21774000,FRANCIS,ST,21774000,POINT (-122.43335745 37.726588202),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,94,9
51202000,PRESIDIO,BLVD,51202000,POINT (-122.450743241 37.795292609),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
21394000,NAYLOR,ST,21394000,POINT (-122.434182694 37.711367979),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,58,9
51370000,PERSHING,DR,51370000,POINT (-122.480393597 37.794314003),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
27727000,34TH,AVE,27727000,POINT (-122.493198799 37.762853316),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
23553000,ILLINOIS,ST,23553000,POINT (-122.387312693 37.757999954),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,55,2
25205000,LARKIN,ST,25205000,POINT (-122.418750451 37.789375632),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,50,6
20078000,INGALLS,ST,20078000,POINT (-122.379347109 37.731679411),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,86,2
22721000,BYXBEE,ST,22721000,POINT (-122.469837627 37.717888158),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,24,65,10
27596000,CALIFORNIA,ST,27596000,POINT (-122.464572159 37.784993973),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,11,4,8
25183000,LARCH,ST,25183000,POINT (-122.420810457 37.782417055),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,39,100,4
20565000,SALINAS,AVE,20565000,POINT (-122.398229563 37.721120684),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,88,2
26566000,JACKSON,ST,26566000,POINT (-122.431262947 37.792888642),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,30,102,4
22923000,TERRACE,DR,22923000,POINT (-122.46751024 37.737947662),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,116,10
21937000,SUSSEX,ST,21937000,POINT (-122.432535428 37.735853648),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,96,9
